name,category,rating,phone,website,address
"L'Atelier du Plombier Paris","Plombier","","+33 1 88 27 39 76","https://atelierduplombier.com/","100 Rue Alexandre Dumas, 75020 Paris, France"
"Plombier André","Plombier","","+33 1 44 72 08 49","http://plombierparis15pascher.fr/","65 Rue Blomet, 75015 Paris, France"
"Arti-Pro Plombier","Plombier","","+33 1 40 50 26 26","https://artipro-plomberie.fr/","1 Rue de l'Assomption, 75016 Paris, France"
"Plombier Paris 11, LA PLATEFORME DES OUVRIERS, SOS Urgence Chauffagiste Paris 11 Pas Cher, Débouchage Canalisation, Dépannage","Plombier","","+33 1 85 08 30 34","http://artisan-emmanuel.fr/","95 rue Sedaine, 3 Ave Parmentier, 75011 Paris, France"
"Leroy plombier Paris 16","Plombier","","+33 1 89 47 08 00","https://www.leroy-plombier-paris-16.fr/","11 Rue du Bouquet de Longchamp, 75116 Paris, France"
"BTM PRO - Plomberie Chauffage et Clim","Plombier","","+33 7 80 97 25 26","https://btm-pro.fr/plombier-paris/","10 Rue Greneta, 75003 Paris, France"
"Plombier André Paris 17","Plombier","","+33 1 88 32 56 93","https://www.plombierparis.fr/","21 Rue Davy, 75017 Paris, France"
"Plombier Paris Jordan","Plombier","","+33 6 68 76 44 57","https://www.plombierparisjordan.fr/","68 Av. Simon Bolivar, 75019 Paris, France"
"Plombier André Paris 18","Plombier","","+33 1 85 09 23 43","https://www.plombier-paris18.fr/","39 bis Rue Championnet, 75018 Paris, France"
"PLOMBIER S.R PARIS","Plombier","","+33 7 80 97 77 03","https://plombier-sr-paris.fr/","20 All. Darius Milhaud, 75019 Paris, France"
"Plombier Paris Service","Plombier","","+33 1 40 31 00 00","http://www.plombier-paris.fr/","90 Rue de la Réunion, 75020 Paris, France"
"M. Armani Plombier Paris 13","Plombier","","+33 1 86 26 72 69","https://www.plombier24-7.com/plombier-paris-13-m-armani-plombier","40 Rue des Terres au Curé, 75013 Paris, France"
"Plombier Paris – PCA BAT | Dépannage 24h/24","Plombier","","+33 7 59 99 76 25","https://www.pcabat.fr/","234 Rue de Crimée, 75019 Paris, France"
"Plombier Atelier Jacques","Plombier","","+33 6 68 36 50 50","https://www.atelierjacques-paris7.fr/","115 Rue Saint-Dominique, 75007 Paris, France"
"Fontaine Plomberie Paris 3","Plombier","","+33 1 89 47 38 12","https://fontaineplombierparis3.fr/","Rue de Turenne, 75003 Paris, France"
"PLOMBERIE BARANES","Plombier","","+33 6 09 59 82 76","http://plomberie-baranes-paris.fr/","11 Rue Léon Frot, 75011 Paris, France"
"Plombier Atelier Albert Paris 17","Plombier","","+33 1 42 27 95 14","https://www.atelieralbert-plombier-paris17.fr/","21 Rue Descombes, 75017 Paris, France"
"A.B. Plomberie","Plombier","","+33 9 80 84 17 26","http://abplomberieparis.fr/?utm_source=gmb","33 Rue Pelleport, 75020 Paris, France"
"Artisan Bernard Paris 9 - Plombier et Chauffagiste","Plombier","","+33 1 86 61 91 62","https://artisan-bernard-paris-9.fr/","9 Rue Notre Dame des Victoires, 75002 Paris, France"
"Artisan Plombier Paris - Ets TORTOSA","Plombier","","+33 1 85 10 10 20","https://www.artisanplombierparis.fr/","40 Rue de Vouillé, 75015 Paris, France"
